Configuration,Config_Code,Mic_Count,SNR,Mean_Error,Std_Error,Max_Error,P95_Error,Max_Distance,Spread
TV Plus (4-mic Compact),tvplus,4,0,0.176663297266695,0.09716969334902004,0.4808546393589585,0.3502092725433621,1.0,0.30000000000000004
TV Plus (4-mic Compact),tvplus,4,5,0.1205608788174854,0.0814906340190636,0.27837016317534824,0.2508753803628846,1.0,0.30000000000000004
TV Plus (4-mic Compact),tvplus,4,10,0.1255111498692555,0.0879841983468348,0.4103545818930569,0.31191853081963133,1.0,0.30000000000000004
TV Plus (4-mic Compact),tvplus,4,20,0.11301804458288905,0.063666896395021,0.22600795633182075,0.207461166517388,1.0,0.30000000000000004
TV X (4-mic Distributed),tvx,4,0,0.21547895793604233,0.17165797563756885,0.564347369989018,0.5135083720306346,2.08806130178211,1.044030650891055
TV X (4-mic Distributed),tvx,4,5,0.1240069283215784,0.06663815852768175,0.2830715054193597,0.2391120726687751,2.08806130178211,1.044030650891055
TV X (4-mic Distributed),tvx,4,10,0.127045207297616,0.05730800329314935,0.2170404979072673,0.2107279072361377,2.08806130178211,1.044030650891055
TV X (4-mic Distributed),tvx,4,20,0.0949789845129185,0.052233374969221154,0.19060876988024872,0.18052986091662174,2.08806130178211,1.044030650891055
Soundbar (3-mic Linear),soundbar3,3,0,0.18499710957994114,0.11495126872156294,0.5062007106426962,0.41462581179337515,2.0,0.7614553755742913
Soundbar (3-mic Linear),soundbar3,3,5,0.17451703920029546,0.10429686697301604,0.45510842340198904,0.37167840814733444,2.0,0.7614553755742913
Soundbar (3-mic Linear),soundbar3,3,10,0.16006556232433136,0.059863236914439205,0.2703115457461948,0.24410087270910485,2.0,0.7614553755742913
Soundbar (3-mic Linear),soundbar3,3,20,0.1287288428814218,0.0661967715363062,0.23838643090510558,0.2306186872064327,2.0,0.7614553755742913
